name,chembl_id,clean_smiles,first_approval_year,indication_class,molecule_type,withdrawn_flag,therapeutic_flag,polymer_flag,inorganic_flag,natural_product_flag,oral,parenteral,topical
GUANIDINE HYDROCHLORIDE,CHEMBL1200728,N=C(N)N,1939,,Small molecule,False,True,False,False,False,True,False,False
ACETOHYDROXAMIC ACID,CHEMBL734,CC(=O)NO,1983,Enzyme Inhibitor (urease),Small molecule,False,True,False,False,False,True,False,False
HYDROXYUREA,CHEMBL467,NC(=O)NO,1967,Antineoplastic,Small molecule,False,True,False,False,False,True,False,False
CYSTEAMINE,CHEMBL602,NCCS,1994,CYSTEAMINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,True
DIMETHYL SULFOXIDE,CHEMBL504,C[S+](C)[O-],1978,Anti-Inflammatory (topical),Small molecule,False,True,False,False,False,False,True,False
FOMEPIZOLE,CHEMBL1308,Cc1cn[nH]c1,1997,Antidote (alcohol dehydrogenase inhibitor),Small molecule,False,True,False,False,False,False,True,False
PIPERAZINE,CHEMBL1412,C1CNCCN1,1954,PIPERAZINE CITRATE,Small molecule,True,True,False,False,False,True,False,False
LACTIC ACID,CHEMBL1200559,CC(O)C(=O)O,2006,,Small molecule,False,True,False,False,False,False,True,False
DALFAMPRIDINE,CHEMBL284348,Nc1ccncc1,2010,Multiple Sclerosis Symptomatic Treatment,Small molecule,False,True,False,False,False,True,False,False
CYCLOSERINE,CHEMBL771,N[C@@H]1CONC1=O,1964,Antibacterial (tuberculostatic),Small molecule,False,True,False,False,False,True,False,False
OXYBATE,CHEMBL1342,O=C(O)CCCO,2002,SODIUM OXYBATE,Small molecule,False,True,False,False,False,True,False,False
AMIFAMPRIDINE,CHEMBL354077,Nc1ccncc1N,2018,,Small molecule,False,True,False,False,False,True,False,False
RESORCINOL,CHEMBL24147,Oc1cccc(O)c1,1946.0,Keratolytic,Small molecule,False,True,False,False,False,False,False,True
BETAZOLE,CHEMBL1201323,NCCc1cc[nH]n1,1982,BETAZOLE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,True,False
HISTAMINE,CHEMBL90,NCCc1c[nH]cn1,1939,HISTAMINE DIHYDROCHLORIDE,Small molecule,False,True,False,False,False,False,True,False
