name,chembl_id,clean_smiles,first_approval_year,indication_class,molecule_type,withdrawn_flag,therapeutic_flag,polymer_flag,inorganic_flag,natural_product_flag,oral,parenteral,topical,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
GUANIDINE HYDROCHLORIDE,CHEMBL1200728,N=C(N)N,1939,,Small molecule,False,True,False,False,False,True,False,False,6.055555555555555,-0.33333333333333304,6.055555555555555,0.33333333333333304,0.2429555006684892,59.071999999999996,54.032,59.04834715999999,24.0,0.0,0.18252800233526478,-0.37033353165611066,0.37033353165611066,0.18252800233526478,1.5,1.5,1.5,14.880241895231476,11.139689635797597,1.5207572146273525,-1.6868344655537748,1.1310630574507823,-2.195350351454206,5.713256466270674,1.3862027374672838,2.8030394876740514,26.264662506490403,3.5773502691896257,2.1547005383792515,2.1547005383792515,1.7320508075688772,0.8273502691896257,0.8273502691896257,0.4553418012614796,0.4553418012614796,0.0,0.0,0.0,0.0,-0.73,3.2451124978365313,3.2700000000000005,0.7105286343612336,0.17373428410583605,24.104383421119774,11.46733495432437,0.0,5.959554568743835,0.0,0.0,0.0,5.409283605791522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.959554568743835,5.409283605791522,0.0,11.46733495432437,0.0,0.0,0.0,0.0,0.0,11.46733495432437,0.0,0.0,0.0,5.959554568743835,0.0,5.409283605791522,0.0,0.0,0.0,0.0,0.0,75.89,0.0,0.0,0.0,5.959554568743835,0.0,0.0,0.0,0.0,0.0,11.46733495432437,5.409283605791522,0.0,0.0,0.0,6.055555555555555,8.944444444444445,-0.33333333333333304,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.1614300000000002,16.1015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACETOHYDROXAMIC ACID,CHEMBL734,CC(=O)NO,1983,Enzyme Inhibitor (urease),Small molecule,False,True,False,False,False,True,False,False,9.45138888888889,-0.43981481481481466,9.45138888888889,0.43981481481481466,0.3013330093828796,75.067,70.027,75.0320284,30.0,0.0,0.23971102716794507,-0.288644080922504,0.288644080922504,0.23971102716794507,2.0,2.2,2.2,16.466627402565244,10.77678569271164,1.7423290305206256,-1.7839278097206837,1.443250870702591,-2.1229144639070374,5.707504734393235,-0.12637455067842218,2.8473789230876716,42.91260938324327,4.284457050376173,2.855461885963821,2.855461885963821,2.270055610029662,1.1777309429819105,1.1777309429819105,0.6679896167228868,0.6679896167228868,0.15744694533375334,0.15744694533375334,0.0,0.0,-0.5700000000000001,9.65148445440323,4.43,1.7215451895043727,3.429999999999999,29.563849677551957,0.0,0.0,0.0,5.907179729351506,0.0,0.0,10.001790208849112,5.480096598121202,0.0,0.0,0.0,0.0,6.923737199690624,0.0,10.001790208849112,5.907179729351506,0.0,5.480096598121202,0.0,6.923737199690624,0.0,0.0,0.0,0.0,5.480096598121202,0.0,0.0,0.0,11.114432754128796,4.794537184071822,0.0,6.923737199690624,0.0,0.0,0.0,0.0,49.33,5.907179729351506,4.794537184071822,0.0,0.0,0.0,0.0,12.403833797811826,0.0,0.0,0.0,5.20725302477729,0.0,0.0,9.45138888888889,7.543981481481481,1.3888888888888888,-0.43981481481481466,0.0,0.0,1.2222222222222223,0.0,0.5,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.4882999999999999,15.603200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYDROXYUREA,CHEMBL467,NC(=O)NO,1967,Antineoplastic,Small molecule,False,True,False,False,False,True,False,False,9.229166666666666,-0.9398148148148147,9.229166666666666,0.9398148148148147,0.25664360627911675,76.05499999999999,72.023,76.027277368,30.0,0.0,0.33539090853305475,-0.3498912803677604,0.3498912803677604,0.33539090853305475,2.0,2.2,2.2,16.47000406560333,11.174083904171281,1.7452717092621919,-1.7886059079270553,1.3763197514222678,-2.247142706818415,5.694613842974607,0.16867744394392575,2.8473789230876716,42.91260938324327,4.284457050376173,2.4328121551534467,2.4328121551534467,2.270055610029662,0.9664060775767234,0.9664060775767234,0.47605416898611963,0.47605416898611963,0.11019326889555414,0.11019326889555414,0.0,0.0,-0.77,9.65148445440323,4.230000000000002,1.5395975232198151,3.2300000000000026,28.538798260168065,5.733667477162185,0.0,0.0,0.0,0.0,6.031114512338072,5.20725302477729,10.274633782193025,0.0,0.0,0.0,0.0,0.0,0.0,10.001790208849112,6.031114512338072,0.0,5.480096598121202,5.733667477162185,0.0,0.0,0.0,0.0,0.0,11.213764075283386,4.794537184071822,0.0,0.0,11.238367537115362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.35000000000001,6.031114512338072,4.794537184071822,0.0,0.0,0.0,0.0,5.480096598121202,0.0,0.0,5.733667477162185,5.20725302477729,0.0,0.0,9.229166666666666,7.418981481481481,5.458333333333334,0.0,-0.9398148148148147,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.9561000000000002,14.5056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CYSTEAMINE,CHEMBL602,NCCS,1994,CYSTEAMINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,True,4.951388888888889,0.683641975308642,4.951388888888889,0.683641975308642,0.4190213910899089,77.15199999999999,70.096,77.029920224,26.0,0.0,0.0025490654015494826,-0.32966115602539775,0.32966115602539775,0.0025490654015494826,1.75,2.0,2.0,32.11686578916816,10.821959291844646,1.5567972423230771,-1.6941682979222434,1.5826664455572257,-1.9721452961903052,7.797751344175505,1.1561911271814724,1.9747448713915894,8.0,3.414213562373095,2.4387774270626785,3.3332046180625943,1.914213562373095,1.2244760564807007,1.8569315885143767,0.5122819323447918,0.9594955278447497,0.12909944487358055,0.38729833462074165,0.0,0.0,0.31,6.854752972273345,4.309999999999998,3.3099999999999983,2.309999999999998,31.599150502640594,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.628789148012991,0.0,0.0,0.0,12.297610012659364,0.0,0.0,12.628789148012991,0.0,0.0,5.733667477162185,0.0,12.297610012659364,0.0,0.0,0.0,5.733667477162185,0.0,0.0,12.628789148012991,12.297610012659364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.02,0.0,0.0,0.0,0.0,6.544756405912575,5.752853606746789,0.0,0.0,0.0,12.628789148012991,5.733667477162185,0.0,3.795524691358025,0.0,0.0,4.951388888888889,0.7916666666666666,0.0,0.0,0.683641975308642,0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,-0.12509999999999988,22.9074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIMETHYL SULFOXIDE,CHEMBL504,C[S+](C)[O-],1978,Anti-Inflammatory (topical),Small molecule,False,True,False,False,False,False,True,False,9.555555555555555,-0.6111111111111114,9.555555555555555,0.6111111111111114,0.37375297187648615,78.136,72.088,78.013935812,26.0,0.0,0.09457165613676245,-0.6167635413759673,0.6167635413759673,0.09457165613676245,1.5,1.5,1.5,32.2275655992146,11.911600380824618,1.6593409268386359,-1.8718222644592344,1.6135313973475969,-1.8612632810702106,7.894667272210804,0.6061248547023375,2.3237900077244498,10.75488750216347,3.5773502691896257,2.8164965809277263,3.632993161855452,1.7320508075688772,0.9831632475943929,2.949489742783178,0.7415816237971965,2.224744871391589,0.0,0.0,0.0,0.0,0.31,3.2451124978365313,4.309999999999998,1.6121148036253767,41.25068678459934,29.198584157808945,4.552749873690364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.175854473385288,0.0,0.0,12.511538367022808,4.552749873690364,11.175854473385288,0.0,0.0,0.0,0.0,12.511538367022808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.06428824071317,11.175854473385288,0.0,0.0,0.0,0.0,0.0,0.0,23.06,11.175854473385288,4.552749873690364,0.0,0.0,0.0,0.0,0.0,12.511538367022808,0.0,0.0,0.0,9.555555555555555,-0.6111111111111114,0.0,0.0,0.0,0.0,0.0,3.2777777777777777,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.005299999999999971,19.990399999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOMEPIZOLE,CHEMBL1308,Cc1cn[nH]c1,1997,Antidote (alcohol dehydrogenase inhibitor),Small molecule,False,True,False,False,False,False,True,False,3.6967592592592595,1.175925925925926,3.6967592592592595,1.175925925925926,0.49044689078380066,82.106,76.05799999999999,82.053098192,32.0,0.0,0.05158679703282046,-0.2854780465673379,0.2854780465673379,0.05158679703282046,1.8333333333333333,2.6666666666666665,2.8333333333333335,15.082565957951571,10.438472052478907,1.7405298467731423,-1.6242904075279132,1.8381457618882218,-1.5337178744574635,4.962988998898228,1.0909819969230359,3.049648321313926,109.10850553448522,4.405777393935816,3.6019141338792093,3.6019141338792093,2.893846850117352,1.8478310912815787,1.8478310912815787,1.2756528377744405,1.2756528377744405,0.634940988877887,0.634940988877887,0.31543844299856305,0.31543844299856305,-0.79,33.548875021634686,3.401938579654511,1.1248871618940932,0.4065428987063098,36.193607204259116,0.0,0.0,0.0,0.0,0.0,0.0,5.098681808301038,0.0,5.098681808301038,0.0,0.0,12.487188691387619,6.196843571613076,6.196843571613076,0.0,0.0,0.0,10.197363616602075,0.0,6.923737199690624,0.0,17.957138634923147,0.0,0.0,0.0,0.0,0.0,0.0,10.197363616602075,0.0,6.923737199690624,5.563451491696996,12.393687143226153,0.0,0.0,0.0,28.68,0.0,0.0,0.0,0.0,0.0,0.0,5.563451491696996,6.196843571613076,13.1205807713037,10.197363616602075,0.0,0.0,0.0,0.0,6.376157407407407,1.175925925925926,0.0,0.0,3.625,1.9895833333333333,0.0,0.25,6.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.7181199999999999,23.324699999999996,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIPERAZINE,CHEMBL1412,C1CNCCN1,1954,PIPERAZINE CITRATE,Small molecule,True,True,False,False,False,True,False,False,3.2222222222222223,1.1388888888888888,3.2222222222222223,1.1388888888888888,0.4022372466625182,86.138,76.05799999999999,86.08439831999999,36.0,0.0,0.0077229764777765044,-0.31420575344972834,0.31420575344972834,0.0077229764777765044,0.6666666666666666,1.0,1.1666666666666667,15.011002665775687,10.44973623259005,1.910800484910352,-2.1065346897471695,1.648645607807168,-2.391183746377933,4.585885904095633,0.5342520348342866,2.0,21.019550008653873,4.242640687119286,3.82842712474619,3.82842712474619,3.0,2.414213562373095,2.414213562373095,1.4999999999999998,1.4999999999999998,0.9571067811865474,0.9571067811865474,0.6035533905932735,0.6035533905932735,-0.08,34.3994618804395,4.088918918918919,2.157216946676406,0.9536924762600438,37.92797058470623,10.633577208012662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1790256236503,0.0,0.0,0.0,0.0,10.633577208012662,0.0,0.0,26.1790256236503,0.0,0.0,0.0,10.633577208012662,0.0,0.0,0.0,26.1790256236503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.06,0.0,0.0,0.0,0.0,0.0,26.1790256236503,0.0,0.0,0.0,10.633577208012662,0.0,0.0,0.0,0.0,6.444444444444445,0.0,0.0,0.0,0.0,4.555555555555555,0.0,1.0,6.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,-0.8208,25.739399999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LACTIC ACID,CHEMBL1200559,CC(O)C(=O)O,2006,,Small molecule,False,True,False,False,False,False,True,False,9.449074074074074,-1.231481481481482,9.449074074074074,1.185185185185185,0.45393595064720316,90.07799999999999,84.02999999999999,90.031694052,36.0,0.0,0.3317230795714236,-0.4793355989963274,0.4793355989963274,0.3317230795714236,1.8333333333333333,2.0,2.0,16.398735260096664,10.433967204080323,2.009807513536468,-1.8854873463348725,1.7291923204449295,-2.1309948007137134,5.706957285736958,-0.14505755842224527,3.2575861612334887,57.058650025961626,5.1547005383792515,3.3800257506534046,3.3800257506534046,2.6427344100918364,1.5519552365135103,1.5519552365135103,1.014211137204421,1.014211137204421,0.35739022965977413,0.35739022965977413,0.0,0.0,-0.5700000000000001,13.609640474436812,5.43,1.7676338396942162,1.7215451895043727,35.21912486105855,10.213054789681411,6.103966387748303,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,0.0,6.923737199690624,0.0,0.0,15.007591973753234,5.969305287951849,0.0,0.0,0.0,13.027703587438927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.286326465381563,4.794537184071822,0.0,6.923737199690624,0.0,0.0,0.0,0.0,57.53,12.073271675700152,4.794537184071822,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,10.213054789681411,0.0,0.0,9.449074074074074,15.770833333333332,0.0,-1.185185185185185,0.0,-1.231481481481482,1.1967592592592593,0.0,0.6666666666666666,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,-0.5482,19.3166,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DALFAMPRIDINE,CHEMBL284348,Nc1ccncc1,2010,Multiple Sclerosis Symptomatic Treatment,Small molecule,False,True,False,False,False,True,False,False,5.317777777777778,0.7592592592592595,5.317777777777778,0.7592592592592595,0.5126510027980979,94.11699999999999,88.06899999999999,94.053098192,36.0,0.0,0.03443645738909061,-0.39863899092187605,0.39863899092187605,0.03443645738909061,1.2857142857142858,1.8571428571428572,2.142857142857143,14.637977658565807,10.43301305635654,1.7275141618986964,-1.8278293004757673,1.9233638778247164,-1.8080285724202199,5.330333960092609,1.3327777790703192,3.0214653097240864,136.00750422530467,5.112884175122364,3.8339649414480865,3.8339649414480865,3.393846850117352,2.049089849945428,2.049089849945428,1.2805469288332916,1.2805469288332916,0.7061039711245108,0.7061039711245108,0.3634448448027121,0.3634448448027121,-1.05,47.19725257297226,4.118067226890756,1.598931214740438,0.8918249573003468,41.99094179745619,5.733667477162185,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,0.0,12.13273413692322,18.081073417909714,0.0,0.0,5.687386274683562,0.0,4.9839785209472085,0.0,0.0,5.733667477162185,24.52642128014937,0.0,0.0,5.733667477162185,5.687386274683562,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,24.52642128014937,0.0,0.0,0.0,38.91,0.0,0.0,0.0,0.0,0.0,5.687386274683562,0.0,24.52642128014937,0.0,4.9839785209472085,5.733667477162185,0.0,0.0,3.7655555555555553,0.0,6.077037037037037,0.0,3.5,3.324074074074074,0.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.6638000000000001,28.6494,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYCLOSERINE,CHEMBL771,N[C@@H]1CONC1=O,1964,Antibacterial (tuberculostatic),Small molecule,False,True,False,False,False,True,False,False,10.212962962962962,-0.4583333333333337,10.212962962962962,0.23611111111111094,0.38589285607070656,102.09299999999999,96.04499999999999,102.042927432,40.0,0.0,0.26242361436240424,-0.3178216210274744,0.3178216210274744,0.26242361436240424,2.0,2.7142857142857144,2.857142857142857,16.660294633052708,10.34289779237597,2.1923434891424733,-1.867907603382866,1.8666413274810596,-2.308866725833504,5.813871716662093,-0.1241761929875786,2.4784387393909566,92.93569696954752,5.276020881938894,3.678303900493525,3.678303900493525,3.304530452640311,1.9771801834506852,1.9771801834506852,1.3838101489852834,1.3838101489852834,0.772422847972463,0.772422847972463,0.3539500200592189,0.3539500200592189,-0.6100000000000001,49.54039820861129,4.546494522691706,1.4756857516681554,0.7025172248364275,40.582162812742915,5.733667477162185,6.041840829147961,0.0,0.0,5.907179729351506,0.0,9.632125767808455,5.480096598121202,0.0,0.0,0.0,0.0,0.0,6.606881964512918,9.632125767808455,5.907179729351506,0.0,5.480096598121202,5.733667477162185,6.041840829147961,6.606881964512918,0.0,0.0,0.0,11.213764075283386,0.0,0.0,0.0,18.555902523012385,9.632125767808455,0.0,0.0,0.0,0.0,0.0,0.0,64.35,6.041840829147961,4.794537184071822,0.0,5.907179729351506,6.606881964512918,0.0,0.0,0.0,0.0,10.317685181857836,5.733667477162185,0.0,0.0,14.657407407407407,0.0,7.246527777777779,-0.23611111111111094,-0.4583333333333337,0.0,0.2905092592592591,0.0,0.6666666666666666,7.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,-1.6249000000000007,22.0701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
