name,chembl_id,clean_smiles,first_approval_year,indication_class,molecule_type,withdrawn_flag,therapeutic_flag,polymer_flag,inorganic_flag,natural_product_flag,parenteral,topical,oral,exactmw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumBridgeheadAtoms,NumAtomStereoCenters,CrippenClogP
GUANIDINE HYDROCHLORIDE,CHEMBL1200728,N=C(N)N,1939,,Small molecule,False,True,False,False,False,False,False,True,59.04834715999999,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1614300000000002
ACETOHYDROXAMIC ACID,CHEMBL734,CC(=O)NO,1983,Enzyme Inhibitor (urease),Small molecule,False,True,False,False,False,False,False,True,75.0320284,3.0,2.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4882999999999999
HYDROXYUREA,CHEMBL467,NC(=O)NO,1967,Antineoplastic,Small molecule,False,True,False,False,False,False,False,True,76.027277368,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9561000000000002
CYSTEAMINE,CHEMBL602,NCCS,1994,CYSTEAMINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,True,True,77.029920224,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12509999999999988
DIMETHYL SULFOXIDE,CHEMBL504,C[S+](C)[O-],1978,Anti-Inflammatory (topical),Small molecule,False,True,False,False,False,True,False,False,78.013935812,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005299999999999971
FOMEPIZOLE,CHEMBL1308,Cc1cn[nH]c1,1997,Antidote (alcohol dehydrogenase inhibitor),Small molecule,False,True,False,False,False,True,False,False,82.053098192,2.0,1.0,0.0,0.0,0.25,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7181199999999999
PIPERAZINE,CHEMBL1412,C1CNCCN1,1954,PIPERAZINE CITRATE,Small molecule,True,True,False,False,False,False,False,True,86.08439831999999,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-0.8208
LACTIC ACID,CHEMBL1200559,CC(O)C(=O)O,2006,,Small molecule,False,True,False,False,False,True,False,False,90.031694052,3.0,2.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5482
DALFAMPRIDINE,CHEMBL284348,Nc1ccncc1,2010,Multiple Sclerosis Symptomatic Treatment,Small molecule,False,True,False,False,False,False,False,True,94.053098192,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6638000000000001
CYCLOSERINE,CHEMBL771,N[C@@H]1CONC1=O,1964,Antibacterial (tuberculostatic),Small molecule,False,True,False,False,False,False,False,True,102.042927432,4.0,3.0,0.0,1.0,0.6666666666666666,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,-1.6249000000000007
OXYBATE,CHEMBL1342,O=C(O)CCCO,2002,SODIUM OXYBATE,Small molecule,False,True,False,False,False,False,False,True,104.047344116,3.0,2.0,3.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15650000000000003
AMIFAMPRIDINE,CHEMBL354077,Nc1ccncc1N,2018,,Small molecule,False,True,False,False,False,False,False,True,109.06399722399999,3.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2460000000000001
RESORCINOL,CHEMBL24147,Oc1cccc(O)c1,1946.0,Keratolytic,Small molecule,False,True,False,False,False,False,True,False,110.036779432,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0977999999999999
BETAZOLE,CHEMBL1201323,NCCc1cc[nH]n1,1982,BETAZOLE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False,111.07964728799999,3.0,3.0,2.0,0.0,0.4,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.08910000000000035
HISTAMINE,CHEMBL90,NCCc1c[nH]cn1,1939,HISTAMINE DIHYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False,111.07964728799999,3.0,3.0,2.0,0.0,0.4,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.08910000000000035
METHIMAZOLE,CHEMBL1515,Cn1ccnc1S,1950,Thyroid Inhibitor,Small molecule,False,True,False,False,False,False,False,True,114.02516919199999,2.0,0.0,0.0,0.0,0.25,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7087999999999999
AMYL NITRITE,CHEMBL3833339,CC(C)CCON=O,1979.0,Antihypertensive,Small molecule,False,True,False,False,False,False,False,False,117.078978592,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7305
