,name,chembl_id,clean_smiles,first_approval_year,indication_class,molecule_type,withdrawn_flag,therapeutic_flag,polymer_flag,inorganic_flag,natural_product_flag,parenteral,topical,oral,MaxEStateIndex,MinEStateIndex,MinAbsEStateIndex,qed,MolWt,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,HallKierAlpha,Ipc,Kappa3,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NHOHCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,fr_Al_COO,fr_Al_OH,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzodiazepine,fr_bicyclic,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phos_acid,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiophene,fr_unbrch_alkane,fr_urea
0,GUANIDINE HYDROCHLORIDE,CHEMBL1200728,N=C(N)N,1939,,Small molecule,False,True,False,False,False,False,False,True,6.055555555555555,-0.333333333333333,0.333333333333333,0.2429555006684892,59.072,0.0,0.1825280023352647,-0.3703335316561106,1.5,14.880241895231476,11.139689635797597,1.5207572146273525,-1.6868344655537748,1.1310630574507825,-2.195350351454206,5.713256466270674,1.3862027374672838,2.8030394876740514,-0.73,3.2451124978365318,0.173734284105836,11.46733495432437,0.0,5.959554568743835,0.0,0.0,0.0,5.409283605791522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.959554568743835,5.409283605791522,0.0,11.46733495432437,0.0,0.0,0.0,0.0,11.46733495432437,0.0,0.0,0.0,5.959554568743835,0.0,5.409283605791522,0.0,0.0,0.0,75.89,0.0,0.0,0.0,5.959554568743835,0.0,0.0,0.0,0.0,0.0,11.46733495432437,5.409283605791522,0.0,0.0,0.0,6.055555555555555,8.944444444444445,-0.333333333333333,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1614300000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ACETOHYDROXAMIC ACID,CHEMBL734,CC(=O)NO,1983,Enzyme Inhibitor (urease),Small molecule,False,True,False,False,False,False,False,True,9.45138888888889,-0.4398148148148146,0.4398148148148146,0.3013330093828796,75.067,0.0,0.239711027167945,-0.288644080922504,2.0,16.466627402565244,10.77678569271164,1.7423290305206256,-1.7839278097206837,1.443250870702591,-2.1229144639070374,5.707504734393235,-0.1263745506784221,2.847378923087672,-0.5700000000000001,9.65148445440323,3.429999999999999,0.0,0.0,0.0,5.907179729351506,0.0,0.0,10.001790208849112,5.480096598121202,0.0,0.0,0.0,0.0,6.923737199690624,0.0,10.001790208849112,5.907179729351506,0.0,5.480096598121202,0.0,6.923737199690624,0.0,0.0,0.0,5.480096598121202,0.0,0.0,0.0,11.114432754128796,4.794537184071822,0.0,6.923737199690624,0.0,0.0,49.33,5.907179729351506,4.794537184071822,0.0,0.0,0.0,0.0,12.403833797811826,0.0,0.0,0.0,5.20725302477729,0.0,0.0,9.45138888888889,7.543981481481481,1.3888888888888888,-0.4398148148148146,0.0,0.0,1.2222222222222223,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4882999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,HYDROXYUREA,CHEMBL467,NC(=O)NO,1967,Antineoplastic,Small molecule,False,True,False,False,False,False,False,True,9.229166666666666,-0.9398148148148148,0.9398148148148148,0.2566436062791167,76.05499999999999,0.0,0.3353909085330547,-0.3498912803677604,2.0,16.47000406560333,11.17408390417128,1.745271709262192,-1.788605907927055,1.3763197514222678,-2.247142706818415,5.694613842974607,0.1686774439439257,2.847378923087672,-0.77,9.65148445440323,3.230000000000002,5.733667477162185,0.0,0.0,0.0,0.0,6.031114512338072,5.20725302477729,10.274633782193025,0.0,0.0,0.0,0.0,0.0,0.0,10.001790208849112,6.031114512338072,0.0,5.480096598121202,5.733667477162185,0.0,0.0,0.0,0.0,11.213764075283386,4.794537184071822,0.0,0.0,11.238367537115362,0.0,0.0,0.0,0.0,0.0,75.35000000000001,6.031114512338072,4.794537184071822,0.0,0.0,0.0,0.0,5.480096598121202,0.0,0.0,5.733667477162185,5.20725302477729,0.0,0.0,9.229166666666666,7.418981481481481,5.458333333333334,0.0,-0.9398148148148148,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9561000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,CYSTEAMINE,CHEMBL602,NCCS,1994,CYSTEAMINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,True,True,4.951388888888889,0.683641975308642,0.683641975308642,0.4190213910899089,77.15199999999999,0.0,0.0025490654015494,-0.3296611560253977,1.75,32.11686578916816,10.821959291844646,1.5567972423230771,-1.6941682979222434,1.5826664455572257,-1.9721452961903048,7.797751344175505,1.1561911271814724,1.9747448713915892,0.31,6.854752972273345,2.309999999999998,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.628789148012991,0.0,0.0,0.0,12.297610012659364,0.0,0.0,12.628789148012991,0.0,0.0,5.733667477162185,0.0,12.297610012659364,0.0,0.0,5.733667477162185,0.0,0.0,12.628789148012991,12.297610012659364,0.0,0.0,0.0,0.0,0.0,26.02,0.0,0.0,0.0,0.0,6.544756405912575,5.752853606746789,0.0,0.0,0.0,12.628789148012991,5.733667477162185,0.0,3.795524691358025,0.0,0.0,4.951388888888889,0.7916666666666666,0.0,0.0,0.683641975308642,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1250999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,DIMETHYL SULFOXIDE,CHEMBL504,C[S+](C)[O-],1978,Anti-Inflammatory (topical),Small molecule,False,True,False,False,False,True,False,False,9.555555555555555,-0.6111111111111114,0.6111111111111114,0.3737529718764861,78.136,0.0,0.0945716561367624,-0.6167635413759673,1.5,32.2275655992146,11.911600380824618,1.659340926838636,-1.8718222644592344,1.6135313973475969,-1.8612632810702103,7.894667272210804,0.6061248547023375,2.3237900077244498,0.31,3.2451124978365318,41.25068678459934,4.552749873690364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.175854473385288,0.0,0.0,12.511538367022808,4.552749873690364,11.175854473385288,0.0,0.0,0.0,0.0,12.511538367022808,0.0,0.0,0.0,0.0,0.0,0.0,17.06428824071317,11.175854473385288,0.0,0.0,0.0,0.0,23.06,11.175854473385288,4.552749873690364,0.0,0.0,0.0,0.0,0.0,12.511538367022808,0.0,0.0,0.0,9.555555555555555,-0.6111111111111114,0.0,0.0,0.0,0.0,0.0,3.2777777777777777,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0052999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,FOMEPIZOLE,CHEMBL1308,Cc1cn[nH]c1,1997,Antidote (alcohol dehydrogenase inhibitor),Small molecule,False,True,False,False,False,True,False,False,3.69675925925926,1.175925925925926,1.175925925925926,0.4904468907838006,82.106,0.0,0.0515867970328204,-0.2854780465673379,1.8333333333333333,15.082565957951571,10.438472052478907,1.7405298467731425,-1.6242904075279132,1.8381457618882215,-1.5337178744574635,4.962988998898228,1.090981996923036,3.049648321313926,-0.79,33.548875021634686,0.4065428987063098,0.0,0.0,0.0,0.0,0.0,0.0,5.098681808301038,0.0,5.098681808301038,0.0,0.0,12.48718869138762,6.196843571613076,6.196843571613076,0.0,0.0,0.0,10.197363616602075,0.0,6.923737199690624,0.0,17.957138634923147,0.0,0.0,0.0,0.0,0.0,10.197363616602075,0.0,6.923737199690624,5.563451491696996,0.0,0.0,28.68,0.0,0.0,0.0,0.0,0.0,0.0,5.563451491696996,6.196843571613076,13.1205807713037,10.197363616602075,0.0,0.0,0.0,0.0,6.376157407407407,1.175925925925926,0.0,0.0,3.625,1.9895833333333333,0.0,0.25,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.7181199999999999,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,PIPERAZINE,CHEMBL1412,C1CNCCN1,1954,PIPERAZINE CITRATE,Small molecule,True,True,False,False,False,False,False,True,3.2222222222222223,1.1388888888888888,1.1388888888888888,0.4022372466625182,86.138,0.0,0.0077229764777765,-0.3142057534497283,0.6666666666666666,15.011002665775688,10.44973623259005,1.910800484910352,-2.106534689747169,1.648645607807168,-2.391183746377933,4.585885904095633,0.5342520348342866,2.0,-0.08,34.3994618804395,0.9536924762600438,10.633577208012662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1790256236503,0.0,0.0,0.0,0.0,10.633577208012662,0.0,0.0,26.1790256236503,0.0,0.0,10.633577208012662,0.0,0.0,0.0,26.1790256236503,0.0,0.0,0.0,0.0,0.0,24.06,0.0,0.0,0.0,0.0,0.0,26.1790256236503,0.0,0.0,0.0,10.633577208012662,0.0,0.0,0.0,0.0,6.444444444444445,0.0,0.0,0.0,0.0,4.555555555555555,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-0.8208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,LACTIC ACID,CHEMBL1200559,CC(O)C(=O)O,2006,,Small molecule,False,True,False,False,False,True,False,False,9.449074074074074,-1.231481481481482,1.185185185185185,0.4539359506472031,90.078,0.0,0.3317230795714236,-0.4793355989963274,1.8333333333333333,16.398735260096664,10.433967204080323,2.009807513536468,-1.8854873463348725,1.7291923204449295,-2.1309948007137134,5.706957285736958,-0.1450575584222452,3.2575861612334887,-0.5700000000000001,13.609640474436812,1.7215451895043727,10.213054789681411,6.103966387748303,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,0.0,6.923737199690624,0.0,0.0,15.007591973753234,5.969305287951849,0.0,0.0,0.0,13.027703587438928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.286326465381563,4.794537184071822,0.0,6.923737199690624,0.0,0.0,57.53,12.073271675700152,4.794537184071822,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,10.213054789681411,0.0,0.0,9.449074074074074,15.770833333333332,0.0,-1.185185185185185,0.0,-1.231481481481482,1.1967592592592593,0.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5482,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,DALFAMPRIDINE,CHEMBL284348,Nc1ccncc1,2010,Multiple Sclerosis Symptomatic Treatment,Small molecule,False,True,False,False,False,False,False,True,5.317777777777778,0.7592592592592595,0.7592592592592595,0.5126510027980979,94.117,0.0,0.0344364573890906,-0.398638990921876,1.2857142857142858,14.637977658565807,10.43301305635654,1.7275141618986964,-1.8278293004757675,1.9233638778247164,-1.80802857242022,5.330333960092609,1.3327777790703192,3.0214653097240864,-1.05,47.19725257297226,0.8918249573003468,5.733667477162185,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,0.0,12.13273413692322,18.081073417909717,0.0,0.0,5.687386274683562,0.0,4.9839785209472085,0.0,0.0,5.733667477162185,24.52642128014937,0.0,5.733667477162185,5.687386274683562,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,0.0,0.0,38.91,0.0,0.0,0.0,0.0,0.0,5.687386274683562,0.0,24.52642128014937,0.0,4.9839785209472085,5.733667477162185,0.0,0.0,3.7655555555555553,0.0,6.077037037037037,0.0,3.5,3.324074074074074,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6638000000000001,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CYCLOSERINE,CHEMBL771,N[C@@H]1CONC1=O,1964,Antibacterial (tuberculostatic),Small molecule,False,True,False,False,False,False,False,True,10.212962962962962,-0.4583333333333337,0.2361111111111109,0.3858928560707065,102.093,0.0,0.2624236143624042,-0.3178216210274744,2.0,16.660294633052708,10.34289779237597,2.1923434891424733,-1.867907603382866,1.86664132748106,-2.308866725833504,5.813871716662093,-0.1241761929875786,2.4784387393909566,-0.6100000000000001,49.54039820861129,0.7025172248364275,5.733667477162185,6.041840829147961,0.0,0.0,5.907179729351506,0.0,9.632125767808455,5.480096598121202,0.0,0.0,0.0,0.0,0.0,6.606881964512918,9.632125767808455,5.907179729351506,0.0,5.480096598121202,5.733667477162185,6.041840829147961,6.606881964512918,0.0,0.0,11.213764075283386,0.0,0.0,0.0,18.555902523012385,9.632125767808455,0.0,0.0,0.0,0.0,64.35,6.041840829147961,4.794537184071822,0.0,5.907179729351506,6.606881964512918,0.0,0.0,0.0,0.0,10.317685181857836,5.733667477162185,0.0,0.0,14.657407407407408,0.0,7.246527777777779,-0.2361111111111109,-0.4583333333333337,0.0,0.2905092592592591,0.0,0.6666666666666666,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.624900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
